Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
30/04/2018;MarathonBet;Autre Tipster;Cricket;Simple;derbyshire + notts;1.44;200;288;88;Gagne
30/04/2018;MarathonBet;Autre Tipster;Cricket;Simple;yorkshire + notts;2.4;300;-300;-300;Perdu
30/04/2018;MarathonBet;Autre Tipster;Football;Simple;BTTS : Globo;1.8;300;540;240;Gagne
30/04/2018;MarathonBet;Autre Tipster;Football;Simple;Over 1 : Athletico PR Team;2.81;160;-160;-160;Perdu
30/04/2018;MarathonBet;Autre Tipster;Football;Simple;BTTS : Al-Arabi Doha;1.64;300;-300;-300;Perdu
30/04/2018;Netbet;Cheser;Football;Simple;Antigua;1.85;157;290.45;133.45;Gagne
30/04/2018;Pinnacle;Viva Spain;Football;Simple;Over 0.5 : Merida;1.943;400;777.2;377.2;Gagne
30/04/2018;Pinnacle;Zigfrid;Football;Simple;hobro -1;1.877;400;750.8;350.8;Gagne
30/04/2018;Pinnacle;Zigfrid;Football;Simple;racing club -1.5;1.884;400;0;0;Annule
30/04/2018;Pinnacle;Autre Tipster;Tennis;Simple;germany to win fed cup;7.43;100;-100;-100;Perdu
30/04/2018;Pinnacle;Autre Tipster;Football;Simple;Atletico Venezuela -0.25;1.877;300;-300;-300;Perdu
29/04/2018;Asianodds;Birjan;Football;Simple;Deportivo Lara -0.75;1.79;250;348.75;98.75;Moitie gagne
29/04/2018;Asianodds;Birjan;Football;Simple;pachuca -1;1.76;375;-375;-375;Perdu
29/04/2018;Asianodds;Birjan;Football;Simple;Los Angeles FC;1.93;250;-250;-250;Perdu
29/04/2018;Asianodds;Garfield;Football;Simple;tulevik 0;1.87;300;561;261;Gagne
29/04/2018;Asianodds;Mr Betting;Football;Simple;Atletico Huracan [-0.75];1.88;250;360;110;Moitie gagne
29/04/2018;Asianodds;Mr Betting;Football;Simple;Independiente 0;1.757;250;439.25;189.25;Gagne
29/04/2018;Asianodds;Mr Betting;Football;Simple;Estudiantes Caseros;1.787;250;446.75;196.75;Gagne
29/04/2018;Asianodds;Mr Betting;Football;Simple;Platense (+ Marathon);1.92;249;-249;-249;Perdu
29/04/2018;Asianodds;The Turing Bombe;Football;Simple;Graz - Wien : X;3.6;250;-250;-250;Perdu
29/04/2018;Asianodds;The Turing Bombe;Football;Simple;Benfica Lisbon B - Vitoria Guimaraes B FT(OT excl.) Draw une partie SINGBET. une partie 188;3.58;250;-250;-250;Perdu
29/04/2018;Asianodds;The Turing Bombe;Football;Simple;UD Oliveirense - Santa Clara FT(OT excl.) Draw;3.25;250;-250;-250;Perdu
29/04/2018;Asianodds;Autre Tipster;Football;Simple;Vitesse;1.9;250;475;225;Gagne
29/04/2018;Asianodds;Autre Tipster;Football;Simple;Belenenses -VS- Sporting Braga OVER 2.5;1.82;200;-200;-200;Perdu
29/04/2018;Asianodds;Autre Tipster;Football;Simple;Slavia Prague - FC Slovacko Full Event Over 2.5;1.86;100;-100;-100;Perdu
29/04/2018;Asianodds;Autre Tipster;Football;Simple;Rio Ave FC - Chaves Full Event Over 2.5;1.99;200;398;198;Gagne
29/04/2018;Asianodds;Autre Tipster;Football;Simple;Bologna - AC Milan Full Event Over 2.5;1.99;100;199;99;Gagne
29/04/2018;Asianodds;Autre Tipster;Football;Simple;LDU Quito - Barcelona (Ecu) Full Event Under 2.5;1.77;100;-100;-100;Perdu
29/04/2018;Asianodds;Autre Tipster;Football;Simple;Parana Clube - Sport Recife Full Event Under 2.5;1.645;100;-100;-100;Perdu
29/04/2018;Asianodds;Autre Tipster;Football;Simple;Gangwon -VS- Pohang Steelers OVER 0.5;2.17;600;-600;-600;Perdu
29/04/2018;Asianodds;Autre Tipster;Football;Simple;Jagiellonia Bialystok -0.75;1.79;180;-180;-180;Perdu
29/04/2018;Asianodds;Autre Tipster;Football;Simple;Rennes;1.98;250;495;245;Gagne
29/04/2018;Asianodds;Autre Tipster;Football;Simple;Botafogo RJ;2.66;250;665;415;Gagne
29/04/2018;Bet365;Xargos;Basketball;Simple;Under 188.5 : Sopron;1.83;300;549;249;Gagne
29/04/2018;Bet365;Autre Tipster;Hockey sur glace;Simple;Netherlands -6;1.775;180;319.5;139.5;Gagne
29/04/2018;Bet365;Autre Tipster;Snooker;Simple;Jack Lisowski (Highest Break in Match);2.5;80;-80;-80;Perdu
29/04/2018;Bet365;Autre Tipster;Tennis;Simple;ruusuvuori;3;200;-200;-200;Perdu
29/04/2018;Bet365;Autre Tipster;Basketball;Simple;Regatas de San Nicolas U19 -1.5;1.83;150;274.5;124.5;Gagne
29/04/2018;Bet365;Autre Tipster;Tennis;Simple;Yamaguchi;1.83;200;366;166;Gagne
29/04/2018;Bet365;Autre Tipster;Snooker;Simple;Highest Break : Haotian;2.62;80;-80;-80;Perdu
29/04/2018;France-Pari;Autre Tipster;Football;Simple;tartu or X;1.83;150;-150;-150;Perdu
29/04/2018;MarathonBet;AntoSeti;Tennis;Simple;bouquet;4.5;100;-100;-100;Perdu
29/04/2018;MarathonBet;BetVolley;Volleyball;Simple;Latvia 3/1;3.48;100;348;248;Gagne
29/04/2018;MarathonBet;BetVolley;Volleyball;Simple;Latvia 3/0;4.2;80;-80;-80;Perdu
29/04/2018;MarathonBet;BetVolley;Volleyball;Simple;Latvia U20 + Noliko (3 Mbet);2.19;330;722.7;392.7;Gagne
29/04/2018;MarathonBet;Birjan;Football;Simple;atlanta + independiante;1.85;250;-250;-250;Perdu
29/04/2018;MarathonBet;Garfield;Football;Simple;Kauno Zalgiris w -0.25;2.08;300;624;324;Gagne
29/04/2018;MarathonBet;The Turing Bombe;Football;Simple;APOEL Nicosia FC - Apollon Limmassol FC X;3.59;260;-260;-260;Perdu
29/04/2018;MarathonBet;The Turing Bombe;Football;Simple;Universidad de Chile - Universidad de Concepcion X;3.66;250;-250;-250;Perdu
29/04/2018;MarathonBet;The Turing Bombe;Tennis;Simple;Audax Italiano Santiago - CD Antofagasta FT(OT excl.) Draw;3.59;250;897.5;647.5;Gagne
29/04/2018;MarathonBet;Autre Tipster;Handball;Simple;Dinamo Bucuresti;2.2;300;660;360;Gagne
29/04/2018;MarathonBet;Autre Tipster;Football;Simple;Slaven belupo - Hajduk Split Full Event Under 2.5;1.87;100;187;87;Gagne
29/04/2018;MarathonBet;Autre Tipster;Handball;Simple;vardar+nantes. les deux se qualifient pour les demis finales COMPTE tangoon1;2.198;200;439.6;239.6;Gagne
29/04/2018;MarathonBet;Autre Tipster;Football;Simple;leverkusen W;1.54;195;300.3;105.3;Gagne
29/04/2018;MarathonBet;Autre Tipster;Football;Simple;becicherecu w;4;100;400;300;Gagne
29/04/2018;MarathonBet;Autre Tipster;Football;Simple;Amkar +1;1.7;150;-150;-150;Perdu
29/04/2018;MarathonBet;Autre Tipster;Tennis;Simple;cachin;1.86;200;-200;-200;Perdu
29/04/2018;MarathonBet;Autre Tipster;Cricket;Simple;Sunrisers;1.78;200;356;156;Gagne
29/04/2018;MarathonBet;Autre Tipster;Football;Simple;Over 2.5 : Compostela;1.78;225;400.5;175.5;Gagne
29/04/2018;Netbet;Xargos;Basketball;Simple;Under 196.5 : Gottingen;1.86;300;558;258;Gagne
29/04/2018;Netbet;Autre Tipster;Basketball;Simple;KK DUBROVNIK -9.5;1.85;91;-91;-91;Perdu
29/04/2018;Pinnacle;Antoine Basket Cuts;Basketball;Simple;Oettinger Rockets Gotha - Baskets Bonn Full Event Over 163;1.961;200;0;0;Rembourse
29/04/2018;Pinnacle;Antoine Basket Cuts;Baseball;Simple;BC Parma Perm - Avtodor Saratov Full Event Over 174;1.917;200;383.4;183.4;Gagne
29/04/2018;Pinnacle;Antoine Basket Cuts;Basketball;Simple;Pistoia Basket 2000 - Virtus Bologna Full Event Over 154;1.925;200;-200;-200;Perdu
29/04/2018;Pinnacle;Awer;Football;Simple;Dukla Prague U21 - Bohemians 1905 Praha U21 Full Event Over 6;2.15;300;645;345;Gagne
29/04/2018;Pinnacle;Garfield;Football;Simple;Lech -0.75;1.847;300;-300;-300;Perdu
29/04/2018;Pinnacle;Hockey Betting;Hockey sur glace;Simple;Over 5.5 : Winnipeg;1.98;250;495;245;Gagne
29/04/2018;Pinnacle;Hockey Betting;Hockey sur glace;Simple;Over 5.5 : Pittsburgh;1.84;250;-250;-250;Perdu
29/04/2018;Pinnacle;Hockey Betting;Hockey sur glace;Simple;Washington Over 2.5;1.641;250;410.25;160.25;Gagne
29/04/2018;Pinnacle;Hockey Betting;Hockey sur glace;Simple;Tampa Bay;1.666;250;-250;-250;Perdu
29/04/2018;Pinnacle;Mr Betting;Football;Simple;san lorenzo -0.25;1.9;250;-125;-125;Moitie perdu
29/04/2018;Pinnacle;The Turing Bombe;Football;Simple;Belgrano de Cordoba - Colon de Santa Fe X;3.35;250;-250;-250;Perdu
29/04/2018;Pinnacle;The Turing Bombe;Football;Simple;VVV Venlo - SV Roda JC draw;3.7;250;-250;-250;Perdu
29/04/2018;Pinnacle;Time Bomb;Football;Simple;celtic -1;1.74;500;870;370;Gagne
29/04/2018;Pinnacle;Viva Spain;Football;Simple;Marbella - UD Melilla Full Event Over 0.50;2.18;400;872;472;Gagne
29/04/2018;Pinnacle;Xargos;MMA;Simple;Fedor;2.22;50;111;61;Gagne
29/04/2018;Pinnacle;Zigfrid;Football;Simple;ZLIN -0.25;1.892;400;-200;-200;Moitie perdu
29/04/2018;Pinnacle;Zigfrid;Football;Simple;Atletico Huracan [-0.75];1.869;400;573.8;173.8;Moitie gagne
29/04/2018;Pinnacle;Autre Tipster;Basketball;Simple;NH Ostrava (+16);1.9;30;57;27;Gagne
29/04/2018;Pinnacle;Autre Tipster;Basketball;Simple;leeds force +40;1.877;269;504.91;235.91;Gagne
29/04/2018;Pinnacle;Autre Tipster;Football;Simple;ACS Heniu Prundu Bargaului (w);4.54;100;-100;-100;Perdu
29/04/2018;Pinnacle;Autre Tipster;Volleyball;Simple;Dinamo Chelyabinsk +1.5 set;1.769;120;-120;-120;Perdu
29/04/2018;Pinnacle;Autre Tipster;Football;Simple;ajax -1;1.909;250;477.25;227.25;Gagne
29/04/2018;Pinnacle;Autre Tipster;Football;Simple;Boavista [-0.25];2.27;150;245.25;95.25;Moitie gagne
29/04/2018;Pinnacle;Autre Tipster;Football;Simple;Heracles 0.5;1.952;250;488;238;Gagne
29/04/2018;Pinnacle;Autre Tipster;Football;Simple;PSV -0.75;1.847;250;-250;-250;Perdu
29/04/2018;PMU;Autre Tipster;Volleyball;Simple;israel u 20 -1.5 set;2.1;166;348.6;182.6;Gagne
28/04/2018;10Bet;Autre Tipster;Volleyball;Simple;alba blaj W;1.64;120;196.8;76.8;Gagne
28/04/2018;188Bet;Garfield;Football;Simple;metta lu -0.75;1.95;300;-300;-300;Perdu
28/04/2018;188Bet;Garfield;Football;Simple;metta lu-valmeira over 1.75;1.87;150;280.5;130.5;Gagne
28/04/2018;Asianodds;Antoine Basket Cuts;Basketball;Simple;TNT KaTropa -VS- Phoenix Fuel Masters OVER 203;1.952;200;390.4;190.4;Gagne
28/04/2018;Asianodds;Birjan;Football;Simple;Club Tijuana [-0.75];1.97;250;371.25;121.25;Moitie gagne
28/04/2018;Asianodds;Brucinger;Football;Simple;Over 3.5 : Cabinteely;1.83;300;0;0;Annule
28/04/2018;Asianodds;Brucinger;Football;Simple;Ripensia Timisoara - CS Afumati over 2.5;1.84;300;552;252;Gagne
28/04/2018;Asianodds;Garfield;Football;Simple;Pogon Szczecin -VS- Sandecja Nowy Sacz OVER 2.5;1.892;300;-300;-300;Perdu
28/04/2018;Asianodds;Garfield;Football;Simple;Legia;2.01;150;301.5;151.5;Gagne
28/04/2018;Asianodds;Garfield;Football;Simple;Legia;1.943;150;291.45;141.45;Gagne
28/04/2018;Asianodds;Garfield;Football;Simple;Over 2 : Legia;1.93;150;289.5;139.5;Gagne
28/04/2018;Asianodds;Ludo;Football;Simple;fatal error;2.26;300;-300;-300;Perdu
28/04/2018;Asianodds;Mr Betting;Football;Simple;general diaz or X;1.74;250;435;185;Gagne
28/04/2018;Asianodds;The Turing Bombe;Football;Simple;X : Cesena;3.19;250;-250;-250;Perdu
28/04/2018;Asianodds;The Turing Bombe;Football;Simple;X : Ascoli;3.1;250;775;525;Gagne
28/04/2018;Asianodds;The Turing Bombe;Football;Simple;X : Hull City;3.75;250;-250;-250;Perdu
28/04/2018;Asianodds;The Turing Bombe;Football;Simple;X : Kayserispor;3.74;250;-250;-250;Perdu
28/04/2018;Asianodds;The Turing Bombe;Football;Simple;Dresden - Dusseldorf : X;3.58;250;-250;-250;Perdu
28/04/2018;Asianodds;The Turing Bombe;Football;Simple;X : Monarcas;3.35;250;837.5;587.5;Gagne
28/04/2018;Asianodds;Time Bomb;Football;Simple;Woking - Dover Athletic Full Event Over 3.;1.79;500;0;0;Rembourse
28/04/2018;Asianodds;Zigfrid;Football;Simple;Charlton Athletic 0;1.73;400;692;292;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;botafogo rj -0.25;2.05;150;307.5;157.5;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Pogon Szczecin -VS- Sandecja Nowy Sacz OVER 2.5;1.89;150;-150;-150;Perdu
28/04/2018;Asianodds;Autre Tipster;Football;Simple;ujpest-diosgyor over 2.25;1.85;160;-160;-160;Perdu
28/04/2018;Asianodds;Autre Tipster;Football;Simple;reading;2.23;60;-60;-60;Perdu
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Cesena v Frosinone Over 2;4.34;30;-30;-30;Perdu
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Port - Chiangrai United over;2.06;300;618;318;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Clyde -1;1.71;100;-100;-100;Perdu
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Charlton Athletic 0;1.74;300;522;222;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Miedz Legnica -1.25;2;210;420;210;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;kfum-oslo over 0.5 HT;1.99;90;-90;-90;Perdu
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Babelsberg 03 v Halberstadt Over 2.5;2.43;90;218.7;128.7;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;real madrid -1;1.78;200;0;0;Rembourse
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Inverness 0;1.699;50;84.95;34.95;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Crystal Palace;2.06;250;515;265;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Whittlesea Rangers FC -VS- Moreland City SC OVER 2.5;1.909;90;-90;-90;Perdu
28/04/2018;Asianodds;Autre Tipster;Football;Simple;beleza W SINGBET;2.12;60;127.2;67.2;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Cobaltore Onagawa -VS- Veertien Mie FC OVER 1.5 SINGBET;2.26;150;339;189;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Vancouver Whitecaps FC -VS- Real Salt Lake OVER 2.5;2.12;90;-90;-90;Perdu
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Over 2.5 : Chacharita;2.31;60;138.6;78.6;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Over 5.75 : General Diaz;1.83;200;-200;-200;Perdu
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Over 1.5 HT : Chacarita;2.49;60;149.4;89.4;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;CSA AL [-0.25];2.03;150;304.5;154.5;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Over 0.5 : Stjarnan;2.1;160;336;176;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Valur -0.25;1.75;200;350;150;Gagne
28/04/2018;Asianodds;Autre Tipster;Tennis;Simple;Guimaraes;2.13;60;127.8;67.8;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Over 2.5 : Quevilly;2.06;200;412;212;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Nancy -0.5 (0-1);1.75;200;350;150;Gagne
28/04/2018;Asianodds;Autre Tipster;Football;Simple;Legia -1;3.13;60;187.8;127.8;Gagne
28/04/2018;Bet365;BetVolley;Volleyball;Simple;Croatia U20 v Belarus U20 Under 141.5;1.83;330;-330;-330;Perdu
28/04/2018;Bet365;BetVolley;Volleyball;Simple;spain u20 to win 3-0;2.37;275;651.75;376.75;Gagne
28/04/2018;Bet365;BetVolley;Volleyball;Simple;france u20 to win 3-0;1.9;385;731.5;346.5;Gagne
28/04/2018;Bet365;BetVolley;Volleyball;Simple;slovakia u 19 W to win 3-0;2.2;330;726;396;Gagne
28/04/2018;Bet365;BetVolley;Volleyball;Simple;spain u20 + france u20 + grece u20 + slovakia u19 W;2.51;330;828.3;498.3;Gagne
28/04/2018;Bet365;Juako;Futsal;Simple;Club Deportivo Segovia - El Pozo Murcia 1HF Over 3.0;1.83;150;274.5;124.5;Gagne
28/04/2018;Bet365;Rugby Tipster 15;Rugby;Simple;connacht + 3 (3way);1.9;200;380;180;Gagne
28/04/2018;Bet365;Rugby Tipster 15;Rugby;Simple;reds-lions over 52.5;1.9;200;-200;-200;Perdu
28/04/2018;Bet365;Rugby Tipster 15;Rugby;Simple;blues - jaguares under 45.5;1.9;200;380;180;Gagne
28/04/2018;Bet365;The Turing Bombe;Football;Simple;Vegalta Sendai - Consadole Sapporo FT(OT excl.) Draw;3.4;250;850;600;Gagne
28/04/2018;Bet365;Autre Tipster;Football;Simple;Lincoln;2.37;60;-60;-60;Perdu
28/04/2018;Bet365;Autre Tipster;Football;Simple;UD Almeria -VS- Barcelona B OVER 1.25;2.33;60;-30;-30;Moitie perdu
28/04/2018;Bet365;Autre Tipster;Handball;Simple;boa hora over 60.5;1.85;200;-200;-200;Perdu
28/04/2018;Bet365;Autre Tipster;Handball;Simple;sporting clube -4.5;1.95;200;-200;-200;Perdu
28/04/2018;Bet365;Autre Tipster;Handball;Simple;fc porto -6.5;1.95;200;-200;-200;Perdu
28/04/2018;Bet365;Autre Tipster;Handball;Simple;ADA maia ismai;1.95;200;-200;-200;Perdu
28/04/2018;Bet365;Autre Tipster;Tennis;Simple;Burel;2.37;200;-200;-200;Perdu
28/04/2018;Bet365;Autre Tipster;Football;Simple;Ji Hoon Son (2 365. Bwin. NetBet);2.25;400;900;500;Gagne
28/04/2018;BetFair;The Turing Bombe;Football;Simple;Crystal Palace FC - Leicester City FT(OT excl.) Draw;3.68;250;-250;-250;Perdu
28/04/2018;France-Pari;Autre Tipster;Basketball;Simple;newcaste hunters W -50.5;1.9;93;176.7;83.7;Gagne
28/04/2018;France-Pari;Autre Tipster;Basketball;Simple;newcaste hunters W -18.5 HT;1.83;100;183;83;Gagne
28/04/2018;MarathonBet;Awer;Football;Simple;sokol cizova 0;3.5;294;-294;-294;Perdu
28/04/2018;MarathonBet;Brucinger;Football;Simple;Over 5.5 : Brisbane (une partie Ohmbet. une partie live365);1.81;300;-300;-300;Perdu
28/04/2018;MarathonBet;Garfield;Football;Simple;Tallinna Kalev v Tammeka under 4 goals womens;1.95;270;526.5;256.5;Gagne
28/04/2018;MarathonBet;Garfield;Football;Simple;Pogon Szczecin -VS- Sandecja Nowy Sacz OVER 3.5;3.1;148;-148;-148;Perdu
28/04/2018;MarathonBet;Garfield;Football;Simple;lks lodz- znicz over 3;1.84;300;552;252;Gagne
28/04/2018;MarathonBet;Garfield;Football;Simple;auda vs jdfs alberts over 3.5;1.87;300;561;261;Gagne
28/04/2018;MarathonBet;Garfield;Football;Simple;jdfs alberts 0;1.95;13;-13;-13;Perdu
28/04/2018;MarathonBet;Garfield;Football;Simple;jdfs alberts or draw;1.79;285;-285;-285;Perdu
28/04/2018;MarathonBet;Juako;Futsal;Simple;Santiago FS - Peniscola FS FT(OT excl.) Under 6.5;2.22;150;333;183;Gagne
28/04/2018;MarathonBet;Juako;Futsal;Simple;Magna Gurpea - O Parrulo Ferrol Over 6.5;1.83;150;-150;-150;Perdu
28/04/2018;MarathonBet;Mr Betting;Football;Simple;tijuana;1.81;250;452.5;202.5;Gagne
28/04/2018;MarathonBet;Autre Tipster;Football;Simple;Salmantino v Arandina Over 0.5 (First Half Goals);2.77;60;166.2;106.2;Gagne
28/04/2018;MarathonBet;Autre Tipster;Football;Simple;Arsenal Tula 0;1.64;150;246;96;Gagne
28/04/2018;MarathonBet;Autre Tipster;Futsal;Simple;Leoes Porto Salvo;1.84;100;184;84;Gagne
28/04/2018;MarathonBet;Autre Tipster;Cricket;Simple;mumbai most 6's;2.17;195;-195;-195;Perdu
28/04/2018;MarathonBet;Autre Tipster;Football;Simple;Gazisehir Gaziantep FK v Balikesirspor Yes (Both Teams to Score);2.23;90;-90;-90;Perdu
28/04/2018;MarathonBet;Autre Tipster;Football;Simple;lille;1.86;250;465;215;Gagne
28/04/2018;MarathonBet;Autre Tipster;Football;Simple;Strasbourg - Nice X;3.42;250;855;605;Gagne
28/04/2018;MarathonBet;Autre Tipster;Football;Simple;bordeaux;1.54;250;385;135;Gagne
28/04/2018;MarathonBet;Autre Tipster;Football;Simple;troyes;2.28;250;570;320;Gagne
28/04/2018;MarathonBet;Autre Tipster;Football;Simple;newcastle;1.95;250;-250;-250;Perdu
