Date;Bookmaker;Tipster;Sport;Type;Intitule du pari;Cote;Mise;Gain;Benefice;Etat
8/31/2018;Bet365;Mr Henryk;Volleyball;Simple;FIU W to win set 1 by 12 or more;7;100;700;600;Gagne
8/31/2018;188Bet;Mr Betting;Football;Simple;Vasco de Gama U20 +0.25;1.84;300;-300;-300;Perdu
8/31/2018;MarathonBet;Blink18222;Football;Simple;Prisonniers du Trinidad;1.86;115;213.9;98.9;Gagne
8/31/2018;Betway;Cheser;Football;Simple;Over 5.5 : Vesturbaer;1.86;300;558;258;Gagne
8/31/2018;188Bet;Garfield;Football;Simple;Over 9 corners : Celtic;2.06;150;-150;-150;Perdu
8/31/2018;Asianodds;Garfield;Football;Simple;Celtic -1.5;1.8;150;270;120;Gagne
8/31/2018;Asianodds;Womens Footie;Football;Simple;swiss w 0.75;1.77;200;-100;-100;Moitie perdu
8/31/2018;Asianodds;Womens Footie;Football;Simple;denmark W 0.25;1.87;200;287;87;Moitie gagne
8/31/2018;Bet365;Autre Tipster;Rugby;Simple;brive 9.5;1.5;400;600;200;Gagne
8/31/2018;MarathonBet;Brucinger;Football;Simple;viikingit;2;300;600;300;Gagne
8/31/2018;Betway;Dedi;Football;Simple;hapoel acre -1;1.66;315;522.9;207.9;Gagne
8/31/2018;Bet365;Hockey Betting;Hockey sur glace;Simple;ZCS lions- Aalborg pirates over 5.5;1.85;250;462.5;212.5;Gagne
8/31/2018;MarathonBet;NINIBET;Football;Simple;portugal w goal 5;1.75;250;437.5;187.5;Gagne
8/31/2018;Bet365;ThePlayer34;Football;Simple;Dominican Republic U21;1.83;320;585.6;265.6;Gagne
8/31/2018;Betway;Atlantic Puffin;Football;Simple;baerum u19 +1;1.77;315;557.55;242.55;Gagne
8/31/2018;Bet365;Atlantic Puffin;Football;Simple;skeid u 19 -0.25;1.825;300;547.5;247.5;Gagne
8/31/2018;Betway;Atlantic Puffin;Football;Simple;valerenga u 19 or X;1.89;315;595.35;280.35;Gagne
8/30/2018;188Bet;Garfield;Football;Simple;portugal w over 10 corners;2.04;250;510;260;Gagne
8/30/2018;Betway;Estonian Sport;Football;Simple;vaprus or X;2.4;250;600;350;Gagne
8/30/2018;Bet365;ThePlayer34;Volleyball;Simple;Rwanda U20 W -1.5 sets;2.1;240;504;264;Gagne
8/30/2018;Bet365;ThePlayer34;Volleyball;Simple;Rwanda U20 W;1.53;320;489.6;169.6;Gagne
8/30/2018;Asianodds;Womens Footie;Football;Simple;Under 4 : Russia W;1.74;200;348;148;Gagne
8/30/2018;MarathonBet;Hockey Betting;Hockey sur glace;Simple;Over 5 : Plzen (un peu Pinnacle);1.773;250;0;0;Rembourse
8/30/2018;Betway;Marcip;Football;Simple;Dinamo Batumi;1.76;250;440;190;Gagne
8/30/2018;MarathonBet;Hockey Betting;Hockey sur glace;Simple;vaxjo 0 + kalpa + 1;1.83;250;-250;-250;Perdu
8/30/2018;Bet365;Jorge_Javier;Tennis;Simple;guarachi/lapko;1.72;300;-300;-300;Perdu
8/30/2018;MarathonBet;Jorge_Javier;Tennis;Simple;vondrousova;2.31;200;462;262;Gagne
8/30/2018;MarathonBet;Jorge_Javier;Tennis;Simple;pera 5.5;1.89;200;-200;-200;Perdu
8/30/2018;MarathonBet;Jorge_Javier;Tennis;Simple;wang 6.5;1.68;200;336;136;Gagne
8/30/2018;Bet365;ThePlayer34;Volleyball;Simple;canada 1.5;2.1;320;-320;-320;Perdu
8/30/2018;Bet365;ThePlayer34;Volleyball;Simple;vietnam -2.5;2.25;320;720;400;Gagne
8/30/2018;MarathonBet;Opsimos;Volleyball;Simple;iran-2.5;1.89;200;378;178;Gagne
8/30/2018;Pinnacle;Norskii;Football;Simple;maccabi tel aviv -1;1.84;375;0;0;Rembourse
8/30/2018;Asianodds;Slavs Tips;Football;Simple;brno 0;1.89;300;0;0;Rembourse
8/30/2018;Pinnacle;Rusp;Hockey sur glace;Simple;zauralie 1.5;1.825;400;730;330;Gagne
8/30/2018;Bet365;Seifer;Football;Simple;calcutta over 4;2.475;250;0;0;Rembourse
8/30/2018;MarathonBet;Anonim31;Basketball;Simple;south korea;1.88;198;-198;-198;Perdu
8/30/2018;MarathonBet;ThePlayer34;Football;Simple;Patha Chakra or Draw;2.26;240;542.4;302.4;Gagne
8/30/2018;MarathonBet;Zorro;Volleyball;Simple;south korea;1.93;320;617.6;297.6;Gagne
8/30/2018;Bet365;Anonim31;Basketball;Simple;turi svitavy 7.5;1.83;200;-200;-200;Perdu
8/30/2018;Bet365;ThePlayer34;Volleyball;Simple;south korea -1.5;2;320;-320;-320;Perdu
8/30/2018;Asianodds;Dedi;Football;Simple;hapoel ramat gan 0.25;1.66;180;-180;-180;Perdu
8/30/2018;MarathonBet;Nowi;Tennis;Simple;konecny -7.5;2;209;418;209;Gagne
8/30/2018;MarathonBet;Dedi;Football;Simple;hapoel ramat gan 0;1.98;171;-171;-171;Perdu
8/30/2018;Bet365;Rugby Tipster 15;Rugby;Simple;waikato over 14.5 tg;1.85;300;555;255;Gagne
8/30/2018;MarathonBet;Double Win;Tennis;Simple;K Peschke / R Ram;1.56;300;468;168;Gagne
8/30/2018;MarathonBet;Double Win;Tennis;Simple;A Hlavackova / E Roger-Vasselin;1.69;300;507;207;Gagne
8/30/2018;Pinnacle;Double Win;Tennis;Simple;R Olaru / F Skugor;1.333;250;333.25;83.25;Gagne
8/30/2018;MarathonBet;Double Win;Tennis;Simple;R Olaru / F Skugor;1.32;50;66;16;Gagne
8/30/2018;MarathonBet;Double Win;Tennis;Simple;M Gonzalez / N Jarry;2.2;300;660;360;Gagne
8/30/2018;Pinnacle;Double Win;Tennis;Simple;J Chardy / F Martin;1.757;300;527.1;227.1;Gagne
8/30/2018;Bet365;Mr Henryk;Volleyball;Simple;Sripatum University Women -2.5 (Match Handicap (Sets);1.909;300;-300;-300;Perdu
8/30/2018;Pinnacle;Double Win;Tennis;Simple;D Inglot / F Skugor;2.06;300;618;318;Gagne
8/30/2018;Bet365;Mr Henryk;Volleyball;Simple;Sripatum University Women 25-15 or better (Set 1 Correct Score);5.5;100;-100;-100;Perdu
8/30/2018;Bet365;Mr Henryk;Volleyball;Simple;Set 1 - Sripatum University Women -3.5 (Set 1 Handicap);1.727;200;345.4;145.4;Gagne
8/30/2018;Bet365;Nowi;Tennis;Simple;fransen;1.8;300;-300;-300;Perdu
8/30/2018;Bet365;Nowi;Tennis;Simple;gomez + cosano;1.84;300;552;252;Gagne
8/30/2018;Bet365;Nowi;Tennis;Simple;maamoun;1.66;300;0;0;Rembourse
8/30/2018;MarathonBet;Jorge_Javier;Tennis;Simple;muchova 5.5;2.06;200;412;212;Gagne
8/30/2018;Bet365;Jorge_Javier;Tennis;Simple;teichman 5.5;1.72;150;258;108;Gagne
8/30/2018;MarathonBet;Double Win;Tennis;Simple;bolelli/fognini;1.61;300;483;183;Gagne
8/30/2018;Bet365;Mr Henryk;Volleyball;Simple;Set 1 - Cuba U21 -5.5;1.8;100;-100;-100;Perdu
8/30/2018;Bet365;Mr Henryk;Volleyball;Simple;Cuba U21 v Dominican Republic U21 Under 132.5;1.83;200;-200;-200;Perdu
8/30/2018;Bet365;Zorro;Volleyball;Simple;Sripatum University Women -1.5;1.8;200;360;160;Gagne
8/30/2018;Pinnacle;Opsimos;Volleyball;Simple;Puerto Rico -1.5 sets (un peu 365);2.03;300;609;309;Gagne
8/30/2018;Asianodds;Brucinger;Football;Simple;Over 3.5 : Delfin;1.82;300;-300;-300;Perdu
8/30/2018;Asianodds;SGB;Football;Simple;Over 4.75 : Salzburg;1.82;250;-250;-250;Perdu
8/30/2018;Asianodds;Mr Betting;Football;Simple;Delfin ou Nul;2.16;300;-300;-300;Perdu
8/30/2018;Asianodds;Catced Bk;Football;Simple;New York Red Bulls;1.497;300;449.1;149.1;Gagne
8/30/2018;Asianodds;Catced Bk;Football;Simple;Over 3 : Washington DC;1.909;100;-100;-100;Perdu
8/30/2018;Asianodds;Catced Bk;Football;Simple;Washington DC United -0.25;1.84;200;-200;-200;Perdu
8/30/2018;Asianodds;Catced Bk;Football;Simple;Under 3 : New York Bulls;2.11;100;211;111;Gagne
8/30/2018;Asianodds;Catced Bk;Football;Simple;Dallas 0;1.793;300;-300;-300;Perdu
8/30/2018;Asianodds;Brucinger;Football;Simple;Under 3.25 : PSV;1.83;300;424.5;124.5;Moitie gagne
8/30/2018;188Bet;Claptone;Football;Simple;Palmeiras U20 -1;1.87;300;561;261;Gagne
8/30/2018;Asianodds;Marcip;Football;Simple;Palmeiras U20 -1;1.869;250;467.25;217.25;Gagne
8/30/2018;Asianodds;Claptone;Football;Simple;paranense;1.73;300;519;219;Gagne
8/30/2018;Bet365;Marcip;Football;Simple;Un but STP : Williamsville;2;250;-250;-250;Perdu
8/30/2018;Bet365;Mr Betting;Football;Simple;LDU Quito Reserves 0.25;1.9;300;435;135;Moitie gagne
8/30/2018;MarathonBet;Blink18222;Football;Simple;Rapid Bucarest HT;1.93;200;386;186;Gagne
8/29/2018;Bet365;ThePlayer34;Volleyball;Simple;Guatemala U21 Set 1;1.72;300;-300;-300;Perdu
8/29/2018;Bet365;BetVolley;Volleyball;Simple;Canada + Bucaneros de la Guaira;1.87;330;617.1;287.1;Gagne
8/29/2018;MarathonBet;Hockey Betting;Hockey sur glace;Simple;Under 5.5 : HC Cheboksary (un peu Pinnacle);1.89;250;-250;-250;Perdu
8/29/2018;Pinnacle;Awer;Football;Simple;Trinec 0;1.952;300;-300;-300;Perdu
8/29/2018;Pinnacle;Norskii;Football;Simple;Aalesunds 0;1.641;375;615.38;240.38;Gagne
8/29/2018;Bet365;Mr Henryk;Volleyball;Simple;Kenya U20 W;3.4;200;-200;-200;Perdu
8/29/2018;Asianodds;SGB;Football;Simple;Bacau -1.5;1.705;240;409.2;169.2;Gagne
8/29/2018;Asianodds;Brucinger;Football;Simple;Bacau -0.75 HT;1.6;300;480;180;Gagne
8/29/2018;Bet365;ThePlayer34;Volleyball;Simple;guatemala u 21;1.53;320;-320;-320;Perdu
8/29/2018;MarathonBet;Ludo;Football;Simple;kilis beldiyespor COVER;3.55;75;-75;-75;Perdu
8/29/2018;Bet365;ThePlayer34;Volleyball;Simple;Kenya U20 Women -1.5 (Match Handicap (Sets));1.83;240;-240;-240;Perdu
8/29/2018;Asianodds;Seifer;Football;Simple;japon u 23 -0.75;1.88;250;360;110;Moitie gagne
8/29/2018;Bet365;Atlantic Puffin;Football;Simple;diyarbakir or X;10;75;750;675;Gagne
8/29/2018;Asianodds;Seifer;Football;Simple;east bengal -1;1.88;250;0;0;Rembourse
8/29/2018;MarathonBet;Nowi;Tennis;Simple;luz;1.8;212;381.6;169.6;Gagne
8/29/2018;Bet365;Mr Henryk;Volleyball;Simple;krou /aye under 76.5;1.83;300;549;249;Gagne
8/29/2018;Pinnacle;Rusp;Hockey sur glace;Simple;mettalurg novokuznetsk 0;1.917;400;766.8;366.8;Gagne
8/29/2018;Pinnacle;Rusp;Hockey sur glace;Simple;rubin tyumen -1;2.09;400;836;436;Gagne
8/29/2018;Asianodds;Seifer;Football;Simple;suwon or x;1.75;250;437.5;187.5;Gagne
8/29/2018;Bet365;Anonim31;Football;Simple;orleans 7.5;1.83;150;274.5;124.5;Gagne
8/29/2018;Bet365;Anonim31;Basketball;Simple;samara 13.5;1.83;150;274.5;124.5;Gagne
8/29/2018;Asianodds;The Turing Bombe;Football;Simple;Stjarnan - Valur Reykjavik;3.637;250;909.25;659.25;Gagne
8/29/2018;Bet365;Mr Henryk;Volleyball;Simple;meertens/driechen;3.4;200;-200;-200;Perdu
8/29/2018;Pinnacle;Mr Betting;Football;Simple;leones 0;1.54;300;462;162;Gagne
8/29/2018;MarathonBet;Jorge_Javier;Tennis;Simple;teichman 5.5;1.8;52;93.6;41.6;Gagne
8/29/2018;MarathonBet;Jorge_Javier;Tennis;Simple;pliskova + peterson;1.725;300;517.5;217.5;Gagne
8/29/2018;Asianodds;Birjan;Football;Simple;Atletico Nacional Medellin -VS- CA Tucuman over 2;1.8;250;-250;-250;Perdu
8/29/2018;Bet365;ThePlayer34;Volleyball;Simple;up maroons W + 1.5;2.2;240;528;288;Gagne
8/29/2018;Bet365;Double Win;Tennis;Simple;mektic/melzer;1.4;300;420;120;Gagne
8/29/2018;Bet365;Nowi;Tennis;Simple;meis + mora;2.3;200;-200;-200;Perdu
8/29/2018;Pinnacle;Anonim31;Basketball;Simple;Columbian Dyip +6;1.884;150;-150;-150;Perdu
8/29/2018;Bet365;Nowi;Tennis;Simple;pauwels + danilov;1.71;300;513;213;Gagne
8/29/2018;Bet365;Nowi;Tennis;Simple;erhat;1.72;300;-300;-300;Perdu
8/29/2018;Bet365;Jorge_Javier;Tennis;Simple;Kasatkina;2.1;200;420;220;Gagne
8/29/2018;Bet365;Mr Henryk;Volleyball;Simple;Canada -2.5 SET 1;1.8;200;356.44;156.44;Cashout
8/29/2018;188Bet;Claptone;Football;Simple;Over 1.75 : Santos;1.76;300;0;0;Annule
8/29/2018;Bet365;Mr Henryk;Volleyball;Simple;Canada 3/0;2.5;200;-200;-200;Perdu
8/29/2018;Pinnacle;Opsimos;Volleyball;Simple;Puerto Rico;1.99;200;-200;-200;Perdu
8/29/2018;Bet365;Mr Henryk;Volleyball;Simple;Brazil -3.5 SET 1;1.83;100;183;83;Gagne
