Club;Ville;Latitude;Longitude;Surface;NbreCourts;NbreCourtsCouverts;NbreCourtsExterieurs;Eff2019Tot;Eff2019J;Eff2019A;Eff2018Tot;Eff2018J;Eff2018A;Eff2017Tot;Eff2017J;Eff2017A;Eff2016Tot;Eff2016J;Eff2016A;Eff2015Tot;Eff2015J;Eff2015A;Internet
MAROMME AL;Maromme;49.4816503;1.0268301;Moquette/Terre Battue;7;4;3;203;66;137;223;76;147;240;79;161;269;87;182;264;100;164;http://www.marommetennis.com/
DEVILLE TC DEVILLOIS;Deville;49.4560836;1.0530405;Resine;4;3;1;121;41;80;145;49;96;167;56;111;169;62;107;174;59;115;http://www.club.fft.fr/tc.devillois
AS RUC;Mont-Saint-Aignan;49.4660314;1.063322;Terre Battue/Resine/Gazon;10;10;0;403;243;160;612;375;237;609;372;237;653;384;269;602;340;262;http://www.asrouenuc.com/cmsms/index.php
NOTRE DAME DE BONDEVILLE BTC;Notre-Dame-De-Bondevlle;49.4909886;1.0468319;Resine/Gazon;3;2;1;83;24;59;126;60;66;133;65;68;143;61;82;144;73;71;https://www.bondeville-tennis.fr/
